Title,Year,Revenue,Rating,Critics ratings,Season,budget,genres,cast_popularity,critics_missing,log_revenue,log_budget,revenue_class
"You, Me & Tuscany",2026,17763805,6.4,53.0,spring,18000000.0,"Romance, Comedy",0.6174444668432679,0,16.692673574370748,16.705882371415992,Low
Bunny!!,2026,17475856,6.1,55.0,spring,0.0,Comedy,0.6610730373036245,1,16.67633088636949,0.0,Low
Melania,2026,16661439,1.6,5.0,winter,40000000.0,Documentary,0.15542141038736865,0,16.628607625541548,17.50439003707821,Low
Guru,2026,16598660,6.4,55.0,winter,0.0,"Drama, Thriller",0.48736556388445706,1,16.624832587422762,0.0,Low
Mobile Suit Gundam Hathaway: The Sorcery of Nymph Circe,2026,15253262,7.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.54030400534309,0.0,Low
Hypnosismic -Division Rap Battle- Rule the Stage -Battle of Pride 2023,2026,15069212,6.4,55.0,winter,0.0,Comedy,0.6610730373036245,1,16.52816434627949,0.0,Low
The Three Investigators: Isle of Death,2026,14683483,6.3,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.50223388269268,0.0,Low
Kyojo: Requiem,2026,14585945,6.2,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.49556902033929,0.0,Low
"Ach, diese Lücke, diese entsetzliche Lücke",2026,14134508,7.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.464129812036745,0.0,Low
Night King,2026,13849385,6.9,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.44375145748496,0.0,Low
Svadba,2026,13715771,7.5,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.434056969504653,0.0,Low
Humint,2026,13207600,6.4,55.0,winter,16000000.0,"Thriller, Action, Drama",0.9917038019935385,1,16.396303055161535,16.588099342704055,Low
Woodwalkers 2,2026,11837875,5.4,55.0,winter,0.0,"Fantasy, Family, Adventure",0.34262086490034593,1,16.28681477943559,0.0,Low
Cosmic Princess Kaguya!,2026,11827190,7.1,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.28591176059131,0.0,Low
The Strangers: Chapter 3,2026,10650202,4.1,19.0,winter,8500000.0,"Horror, Thriller",0.5058295527549762,0,16.181089510970914,15.955576839107596,Low
Children of the Resistance,2026,10518093,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.168607570151767,0.0,Low
Little Brownie Kuzya 2,2026,10415921,7.5,55.0,spring,0.0,"Comedy, Family, Fantasy",1.275612076095947,1,16.158846154923186,0.0,Low
Salmokji: Whispering Water,2026,10208952,6.0,55.0,spring,0.0,Horror,1.0512765609676364,1,16.138775638359576,0.0,Low
"Good Luck, Have Fun, Don't Die",2026,9538776,7.0,55.0,winter,20000000.0,"Science Fiction, Action, Comedy",0.2772695557751422,1,16.070875838141532,16.811242881518265,Low
Your Heart Will Be Broken,2026,9445957,4.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.061097483101825,0.0,Low
The Money Maker,2026,9412004,7.0,55.0,winter,0.0,"History, Drama, Crime",0.20550505410823847,1,16.057496560065967,0.0,Low
Gintama: Yoshiwara in Flames,2026,9012399,9.0,55.0,unknown,0.0,Comedy,0.6610730373036245,1,16.014111964813367,0.0,Low
The Lord of the Rings: The Return of the King 2026  Re-release,2026,8367539,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.939870492456551,0.0,Low
Golden Kamuy: Assault on Abashiri Prison,2026,8365548,7.8,55.0,spring,0.0,"Action, Adventure, History",1.3241624702531194,1,15.939632520853174,0.0,Low
Top Gun: Maverick 2026 Re-release (40th Anniversary),2026,8300794,6.4,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.931861851312446,0.0,Low
Checker Tobi 3: Die heimliche Herrscherin der Erde,2026,8017475,6.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.897134217093143,0.0,Low
The Things Left Unspoken,2026,7864546,6.9,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.877875495867242,0.0,Low
LOL 2.0,2026,7753402,5.8,55.0,unknown,0.0,Comedy,0.6610730373036245,1,15.863642401728946,0.0,Low
